disease,Mean (SE),Median [Q1-Q3],N
heart_attack,0.119 (0.00024),"0.045 [0.012, 0.162]",473678
coronary_hd,0.121 (0.00025),"0.043 [0.010, 0.163]",471860
stroke,0.083 (0.00016),"0.034 [0.011, 0.116]",474649
kidney,0.067 (0.00012),"0.035 [0.016, 0.084]",474154
depression,0.296 (0.00036),"0.201 [0.106, 0.419]",473583
diabetes,0.244 (0.00039),"0.129 [0.030, 0.384]",474963
