disease,threshold,prevalence,AUROC,AUPRC,Brier,sensitivity,specificity,PPV,NPV
heart_attack,0.5,0.05971778296648778,0.8457842428303403,0.25930622287153754,0.04922951388882492,0.012161063386007706,0.9993017371253573,0.5251908396946565,0.94092676254643
coronary_hd,0.5,0.06038867460687492,0.8518779082257006,0.2675525147614642,0.049398418554872425,0.012458326022109141,0.9993616997282149,0.5564263322884012,0.9402829239721405
stroke,0.5,0.04113355342579464,0.8253461012020165,0.16210150327912476,0.03657717034701512,0.00015365703749231714,0.9999846196099973,0.3,0.9588719005391466
kidney,0.5,0.0334427211412326,0.7908568882490343,0.12660345556289967,0.030667452490463116,0.0008198272056505014,0.9999825440707664,0.6190476190476191,0.9665832161018111
depression,0.5,0.18858151580609947,0.8259200359716987,0.5982909983501795,0.11041742954788376,0.37769989586715785,0.9621832338383549,0.6989060169070115,0.8693286685993337
diabetes,0.5,0.12756572617235448,0.8430255759959066,0.43273979182154976,0.08867044861824873,0.1631814355741141,0.9829550116561367,0.5833038348082595,0.8893000853687559
