,2011,2012,2013,2014,2015,All years
Heart attack,"30,052 / 504,002 (5.96%)","28,794 / 473,614 (6.08%)","29,278 / 489,190 (5.98%)","27,841 / 462,356 (6.02%)","25,472 / 439,227 (5.80%)","141,437 / 2,368,389 (5.97%)"
Coronary heart disease,"30,235 / 501,841 (6.02%)","29,391 / 471,766 (6.23%)","29,048 / 487,340 (5.96%)","28,511 / 460,713 (6.19%)","25,290 / 437,639 (5.78%)","142,475 / 2,359,299 (6.04%)"
Stroke,"20,484 / 505,081 (4.06%)","19,279 / 474,391 (4.06%)","20,391 / 490,309 (4.16%)","19,198 / 463,296 (4.14%)","18,269 / 440,166 (4.15%)","97,621 / 2,373,243 (4.11%)"
Chronic kidney disease,"15,752 / 503,629 (3.13%)","15,531 / 474,160 (3.28%)","15,908 / 490,061 (3.25%)","16,437 / 463,037 (3.55%)","15,657 / 439,879 (3.56%)","79,285 / 2,370,766 (3.34%)"
Depression,"91,092 / 503,020 (18.11%)","87,655 / 473,604 (18.51%)","95,776 / 489,485 (19.57%)","88,233 / 462,546 (19.08%)","83,788 / 439,259 (19.07%)","446,544 / 2,367,914 (18.86%)"
Diabetes,"62,461 / 504,530 (12.38%)","59,763 / 474,864 (12.59%)","62,345 / 490,942 (12.70%)","61,118 / 463,820 (13.18%)","57,256 / 440,658 (12.99%)","302,943 / 2,374,814 (12.76%)"
