disease,threshold,prevalence,AUROC,AUPRC,Brier,Sensitivity,Specificity,PPV,NPV,Emax,ECE,MCE
heart_attack,0.16,0.05971778296648778,0.8461410159628535,0.2595773238855087,0.049213519281204585,0.4811750981016014,0.908969871416351,0.2513341335056781,0.9650174126329188,0.16134979813415617,0.0004938980173952053,0.16134979813415617
coronary_hd,0.17,0.06038867460687492,0.8523163537152035,0.2684370595741816,0.04937074088580551,0.4726794174416564,0.914587303914382,0.26235926604074955,0.9642682190230237,0.3375577701132555,0.0012457828008778753,0.7503206654606558
stroke,0.12,0.04113355342579464,0.8255921528927896,0.16261281789898507,0.036567219113973794,0.39930342143003483,0.9189431474869542,0.17445789603240316,0.9727231708848689,0.17071893894646634,0.0005199063569718587,0.3143030015694006
kidney,0.09999999999999999,0.0334427211412326,0.7912865138721552,0.12714508977066627,0.03065797097134931,0.3240209371255597,0.9350813991800078,0.1472628260246489,0.9755978181685729,0.26806849773329944,0.000429469607853395,0.31978413633767244
depression,0.27,0.18858151580609947,0.8262462588563587,0.5987882641047366,0.11034591603134813,0.6046199151261351,0.871094583552361,0.5215535143384235,0.9045777597621943,0.04279761155878492,0.0027555144515097546,0.021747290101132855
diabetes,0.23,0.12756572617235448,0.8434790728652161,0.43337267183098854,0.0886033157886098,0.6152106818069286,0.8542331323876498,0.3816149144629749,0.9382060293782436,0.06843112043183663,0.0015991110566361236,0.05854623242375012
