disease,threshold,prevalence,AUROC,AUPRC,Brier,sensitivity,specificity,PPV,NPV
heart_attack,0.16,0.05971778296648778,0.8457842428303403,0.25930622287153754,0.04922951388882492,0.4794075016792166,0.9094885168312786,0.2517169692244868,0.9649217253766044
coronary_hd,0.18000000000000002,0.06038867460687492,0.8518779082257006,0.2675525147614642,0.049398418554872425,0.44783295314967536,0.9222559290877719,0.27018843955113275,0.9629465652450369
stroke,0.12,0.04113355342579464,0.8253461012020165,0.16210150327912476,0.03657717034701512,0.3995082974800246,0.9189585278769569,0.17455912630919346,0.972732664286628
kidney,0.09999999999999999,0.0334427211412326,0.7908568882490343,0.12660345556289967,0.030667452490463116,0.3253452733808413,0.934422437851437,0.14650839178712408,0.9756277039511005
depression,0.28,0.18858151580609947,0.8259200359716987,0.5982909983501795,0.11041742954788376,0.5925942514192298,0.8776341881053623,0.5295259440097653,0.9026193872662504
diabetes,0.23,0.12756572617235448,0.8430255759959066,0.43273979182154976,0.08867044861824873,0.6130155638812326,0.8544237814148571,0.38108038783152925,0.9378884126538419
