disease,mean_uncertainty,median_uncertainty,q1_uncertainty,q3_uncertainty,ci_low_mean,ci_high_mean
heart_attack,0.1192184141568353,0.04488108650294498,0.01121719917172384,0.16172265258786292,0.11874653241520684,0.11969029589846376
coronary_hd,0.12089200022327863,0.04343596931625471,0.009477199564810412,0.16359267219412119,0.12040346016221527,0.12138054028434199
stroke,0.08269087347346556,0.03454638067534466,0.010449278119546324,0.1159447623883848,0.08238376728582378,0.08299797966110734
kidney,0.06691336674989655,0.035770342488986695,0.016774985453604313,0.08402974178050246,0.06668802278295968,0.06713871071683342
depression,0.29526605420461066,0.20020844322544784,0.10551619927302996,0.41854293806999143,0.29455910576242733,0.295973002646794
diabetes,0.24338476444574741,0.12771067504396982,0.02926262176317923,0.38441808745492734,0.24261774936875594,0.2441517795227389
