Disease,N_test,Prevalence_%,Threshold,AUROC,AUPRC,Brier,Sensitivity,Specificity,PPV,NPV,Emax,ECE,MCE
Heart attack,473678,5.972,0.16,0.846,0.259,0.049,0.479,0.909,0.252,0.965,0.289,0.00061,0.289
Coronary heart disease,471860,6.039,0.18,0.852,0.268,0.049,0.448,0.922,0.27,0.963,0.13,0.00106,0.715
Stroke,474649,4.113,0.12,0.825,0.162,0.037,0.4,0.919,0.175,0.973,0.368,0.00062,0.392
Chronic kidney disease,474154,3.344,0.1,0.791,0.127,0.031,0.325,0.934,0.147,0.976,0.309,0.00025,0.282
Depression,473583,18.858,0.28,0.826,0.598,0.11,0.593,0.878,0.53,0.903,0.042,0.00276,0.02
Diabetes,474963,12.757,0.23,0.843,0.433,0.089,0.613,0.854,0.381,0.938,0.198,0.00179,0.084
